"1096-1453","CIÊNCIAS BIOLÓGICAS II                            ","Academic Exchange Quarterly","C ",2008
"1552-4884","CIÊNCIAS BIOLÓGICAS II                            ","The Anatomical Record. Part A, Discoveries in Molecular, Cellular, and Evolutionary Biology (Cessou em 2006. Fundiu-se com ISSN 1552-4906 The Anatomical Record. Part B, New Anatomist e ISSN 1932-8486 The Anatomical Record (Hoboken, N.J. : 2007))","C ",2008
"0003-3219","CIÊNCIAS BIOLÓGICAS II                            ","The Angle Orthodontist","B4",2008
"1060-0280","CIÊNCIAS BIOLÓGICAS II                            ","The Annals of Pharmacotherapy (Print)","B2",2008
"1413-8670","CIÊNCIAS BIOLÓGICAS II                            ","The Brazilian Journal of Infectious Diseases (Impresso)","C ",2008
"0007-2745","CIÊNCIAS BIOLÓGICAS II                            ","The Bryologist (College Station, TX)","B3",2008
"1055-6656","CIÊNCIAS BIOLÓGICAS II                            ","The Cleft Palate-Craniofacial Journal (Print)","B4",2008
"1051-2144","CIÊNCIAS BIOLÓGICAS II                            ","The Endocrinologist (Baltimore, Md.)","B5",2008
"0903-1936","CIÊNCIAS BIOLÓGICAS II                            ","The European Respiratory Journal","A1",2008
"0904-1850","CIÊNCIAS BIOLÓGICAS II                            ","The European Respiratory Journal. Supplement","C ",2008
"0892-6638","CIÊNCIAS BIOLÓGICAS II                            ","The FASEB Journal","A1",2008
"1742-464X","CIÊNCIAS BIOLÓGICAS II                            ","The FEBS Journal (Print)","A2",2008
"0393-6155","CIÊNCIAS BIOLÓGICAS II                            ","The International Journal of Biological Markers (Testo stampato)","B3",2008
"0214-6282","CIÊNCIAS BIOLÓGICAS II                            ","The International Journal of Developmental Biology","B1",2008
"0882-2786","CIÊNCIAS BIOLÓGICAS II                            ","The International Journal of Oral and Maxillofacial Implants","B2",2008
"1027-3719","CIÊNCIAS BIOLÓGICAS II                            ","The International Journal of Tuberculosis and Lung Disease","B2",2008
"1075-5535","CIÊNCIAS BIOLÓGICAS II                            ","The Journal of Alternative and Complementary Medicine (New York, N.Y.)","B2",2008
"0161-8202","CIÊNCIAS BIOLÓGICAS II                            ","The Journal of Arachnology","B4",2008
"0021-9258","CIÊNCIAS BIOLÓGICAS II                            ","The Journal of Biological Chemistry (Print)","A1",2008
"0021-9525","CIÊNCIAS BIOLÓGICAS II                            ","The Journal of Cell Biology","A1",2008
"0021-9606","CIÊNCIAS BIOLÓGICAS II                            ","The Journal of Chemical Physics","B1",2008
"0021-972X","CIÊNCIAS BIOLÓGICAS II                            ","The Journal of Clinical Endocrinology and Metabolism","A1",2008
"1524-6175","CIÊNCIAS BIOLÓGICAS II                            ","The Journal of Clinical Hypertension (Greenwich, Conn.)","C ",2008
"0021-9738","CIÊNCIAS BIOLÓGICAS II                            ","The Journal of Clinical Investigation","A1",2008
"1053-4628","CIÊNCIAS BIOLÓGICAS II                            ","The Journal of Clinical Pediatric Dentistry (Print)","C ",2008
"0160-6689","CIÊNCIAS BIOLÓGICAS II                            ","The Journal of Clinical Psychiatry","A1",2008
"1049-2275","CIÊNCIAS BIOLÓGICAS II                            ","The Journal of Craniofacial Surgery (Print)","B4",2008
"1041-2905","CIÊNCIAS BIOLÓGICAS II                            ","The Journal of Essential Oil Research","B5",2008
"1066-5234","CIÊNCIAS BIOLÓGICAS II                            ","The Journal of Eukaryotic Microbiology","B2",2008
"0022-1007","CIÊNCIAS BIOLÓGICAS II                            ","The Journal of Experimental Medicine","A1",2008
"0022-1295","CIÊNCIAS BIOLÓGICAS II                            ","The Journal of General Physiology","A1",2008
"1129-2369","CIÊNCIAS BIOLÓGICAS II                            ","The Journal of Headache and Pain (Testo Stampato)","B2",2008
"0022-1554","CIÊNCIAS BIOLÓGICAS II                            ","The Journal of Histochemistry and Cytochemistry","B1",2008
"0022-1767","CIÊNCIAS BIOLÓGICAS II                            ","The Journal of Immunology (1950)","A1",2008
"0163-4453","CIÊNCIAS BIOLÓGICAS II                            ","The Journal of Infection","B1",2008
"0022-1899","CIÊNCIAS BIOLÓGICAS II                            ","The Journal of Infectious Diseases","A1",2008
"0022-2631","CIÊNCIAS BIOLÓGICAS II                            ","The Journal of Membrane Biology (Print)","B1",2008
"0022-3018","CIÊNCIAS BIOLÓGICAS II                            ","The Journal of Nervous and Mental Disease (Print)","B2",2008
"0895-0172","CIÊNCIAS BIOLÓGICAS II                            ","The Journal of Neuropsychiatry and Clinical Neurosciences (Print)","B2",2008
"0270-6474","CIÊNCIAS BIOLÓGICAS II                            ","The Journal of Neuroscience","A1",2008
"0022-3166","CIÊNCIAS BIOLÓGICAS II                            ","The Journal of Nutrition (Print)","A2",2008
"1526-5900","CIÊNCIAS BIOLÓGICAS II                            ","The Journal of Pain (Print)","A2",2008
"0022-3395","CIÊNCIAS BIOLÓGICAS II                            ","The Journal of Parasitology","B3",2008
"0022-3476","CIÊNCIAS BIOLÓGICAS II                            ","The Journal of Pediatrics","A2",2008
"0022-3565","CIÊNCIAS BIOLÓGICAS II                            ","The Journal of Pharmacology and Experimental Therapeutics (Print)","A2",2008
"1743-6095","CIÊNCIAS BIOLÓGICAS II                            ","The Journal of Sexual Medicine (Print)","A1",2008
"1079-0268","CIÊNCIAS BIOLÓGICAS II                            ","The Journal of Spinal Cord Medicine","B3",2008
"0896-8446","CIÊNCIAS BIOLÓGICAS II                            ","The Journal of Supercritical Fluids","B2",2008
"0022-4804","CIÊNCIAS BIOLÓGICAS II                            ","The Journal of Surgical Research (Print)","B2",2008
"1074-3804","CIÊNCIAS BIOLÓGICAS II                            ","The Journal of the American Association of Gynecologic Laparoscopists (Cessou em 200u. Cont. ISSN 1553-4650 Journal of Minimally Invasive Gynecology)","C ",2008
"0022-5347","CIÊNCIAS BIOLÓGICAS II                            ","The Journal of Urology","A2",2008
"0104-7930","CIÊNCIAS BIOLÓGICAS II                            ","The Journal of Venomous Animals and Toxins (Impresso)","B5",2008
"1678-9180","CIÊNCIAS BIOLÓGICAS II                            ","The Journal of Venomous Animals and Toxins Including Tropical Diseases (CD-ROM)","C ",2008
"1079-5006","CIÊNCIAS BIOLÓGICAS II                            ","The Journals of Gerontology. Series A, Biological Sciences and Medical sciences","B1",2008
"0099-5355","CIÊNCIAS BIOLÓGICAS II                            ","The Lancet (North American edition)","A1",2008
"0023-852X","CIÊNCIAS BIOLÓGICAS II                            ","The Laryngoscope (St. Louis)","B2",2008
"1660-8151","CIÊNCIAS BIOLÓGICAS II                            ","The Nephron Journals","C ",2008
"1874-2882","CIÊNCIAS BIOLÓGICAS II                            ","The Open Nutrition Journal","C ",2008
"1874-1436","CIÊNCIAS BIOLÓGICAS II                            ","The Open Pharmacology Journal","C ",2008
"0891-3668","CIÊNCIAS BIOLÓGICAS II                            ","The Pediatric Infectious Disease Journal","B1",2008
"0270-4137","CIÊNCIAS BIOLÓGICAS II                            ","The Prostate (Print)","A2",2008
"1572-3887","CIÊNCIAS BIOLÓGICAS II                            ","The Protein Journal","B3",2008
"1613-6071","CIÊNCIAS BIOLÓGICAS II                            ","The Review of Diabetic Studies (Print)","C ",2008
"1138-7416","CIÊNCIAS BIOLÓGICAS II                            ","The Spanish Journal of Psychology","B4",2008
"0195-5616","CIÊNCIAS BIOLÓGICAS II                            ","The Veterinary Clinics of North America. Small Animal Practice","B4",2008
"1090-0233","CIÊNCIAS BIOLÓGICAS II                            ","The Veterinary Journal (London, England. 1997)","B2",2008
"1431-7613","CIÊNCIAS BIOLÓGICAS II                            ","Theory in Biosciences","B2",2008
"1753-9447","CIÊNCIAS BIOLÓGICAS II                            ","Therapeutic Advances in Cardiovascular Disease (Print)","C ",2008
"0163-4356","CIÊNCIAS BIOLÓGICAS II                            ","Therapeutic Drug Monitoring (Print)","B1",2008
"0093-691X","CIÊNCIAS BIOLÓGICAS II                            ","Theriogenology","B2",2008
"0040-6031","CIÊNCIAS BIOLÓGICAS II                            ","Thermochimica Acta (Print)","B2",2008
"0040-6090","CIÊNCIAS BIOLÓGICAS II                            ","Thin Solid Films","B2",2008
"0040-6376","CIÊNCIAS BIOLÓGICAS II                            ","Thorax","A1",2008
"0340-6245","CIÊNCIAS BIOLÓGICAS II                            ","Thrombosis and Haemostasis","B1",2008
"0049-3848","CIÊNCIAS BIOLÓGICAS II                            ","Thrombosis Research","B2",2008
"1050-7256","CIÊNCIAS BIOLÓGICAS II                            ","Thyroid (New York, N.Y.)","B2",2008
"0040-8166","CIÊNCIAS BIOLÓGICAS II                            ","Tissue & Cell","B3",2008
"1076-3279","CIÊNCIAS BIOLÓGICAS II                            ","Tissue Engineering (Cessou em 2007. Foi desdobrado em três: ISSN 1937-3341 Tissue Engineering. Part A, ISSN 1937-3368 Tissue Engineering. Part B, Reviews e ISSN 1937-3384 Tissue Engineering. Part C Methods)","A2",2008
"1360-2276","CIÊNCIAS BIOLÓGICAS II                            ","TM & IH. Tropical medicine and international health (Print)","B1",2008
"0964-4563","CIÊNCIAS BIOLÓGICAS II                            ","Tobacco Control","A2",2008
"0192-6233","CIÊNCIAS BIOLÓGICAS II                            ","Toxicologic Pathology (Print)","B2",2008
"1096-6080","CIÊNCIAS BIOLÓGICAS II                            ","Toxicological Sciences (Print)","A2",2008
"0300-483X","CIÊNCIAS BIOLÓGICAS II                            ","Toxicology (Amsterdam)","B1",2008
"0041-008X","CIÊNCIAS BIOLÓGICAS II                            ","Toxicology and Applied Pharmacology","A1",2008
"0887-2333","CIÊNCIAS BIOLÓGICAS II                            ","Toxicology in Vitro","B2",2008
"0378-4274","CIÊNCIAS BIOLÓGICAS II                            ","Toxicology Letters","B1",2008
"0041-0101","CIÊNCIAS BIOLÓGICAS II                            ","Toxicon (Oxford)","B1",2008
"0035-9203","CIÊNCIAS BIOLÓGICAS II                            ","Transactions of the Royal Society of Tropical Medicine and Hygiene","B2",2008
"0934-0874","CIÊNCIAS BIOLÓGICAS II                            ","Transplant International","B1",2008
"0041-1337","CIÊNCIAS BIOLÓGICAS II                            ","Transplantation","A2",2008
"0041-1345","CIÊNCIAS BIOLÓGICAS II                            ","Transplantation Proceedings","B4",2008
"0968-0004","CIÊNCIAS BIOLÓGICAS II                            ","Trends in Biochemical Sciences (Regular ed.)","A1",2008
"0169-5347","CIÊNCIAS BIOLÓGICAS II                            ","Trends in Ecology & Evolution (Amsterdam. Print)","A1",2008
"0168-9525","CIÊNCIAS BIOLÓGICAS II                            ","Trends in Genetics (Regular ed.)","A1",2008
"1471-4906","CIÊNCIAS BIOLÓGICAS II                            ","Trends in Immunology (Print)","A1",2008
"1471-4914","CIÊNCIAS BIOLÓGICAS II                            ","Trends in Molecular Medicine (Print)","A1",2008
"0166-2236","CIÊNCIAS BIOLÓGICAS II                            ","Trends in Neurosciences (Regular ed.)","A1",2008
"1471-4922","CIÊNCIAS BIOLÓGICAS II                            ","Trends in Parasitology","A1",2008
"0165-6147","CIÊNCIAS BIOLÓGICAS II                            ","Trends in Pharmacological Sciences (Regular ed., Print)","A1",2008
"1360-1385","CIÊNCIAS BIOLÓGICAS II                            ","Trends in Plant Science","A1",2008
"1745-6215","CIÊNCIAS BIOLÓGICAS II                            ","Trials (London)","B2",2008
"1472-9792","CIÊNCIAS BIOLÓGICAS II                            ","Tuberculosis (Edinburgh)","B1",2008
"0041-624X","CIÊNCIAS BIOLÓGICAS II                            ","Ultrasonics (Guildford)","B3",2008
"1350-4177","CIÊNCIAS BIOLÓGICAS II                            ","Ultrasonics Sonochemistry","B1",2008
"0301-5629","CIÊNCIAS BIOLÓGICAS II                            ","Ultrasound in Medicine & Biology","B2",2008
"0960-7692","CIÊNCIAS BIOLÓGICAS II                            ","Ultrasound in Obstetrics & Gynecology (Print)","B1",2008
"0042-1138","CIÊNCIAS BIOLÓGICAS II                            ","Urologia Internationalis","B4",2008
"0090-4295","CIÊNCIAS BIOLÓGICAS II                            ","Urology (Ridgewood, N.J.)","B2",2008
"0264-410X","CIÊNCIAS BIOLÓGICAS II                            ","Vaccine (Guildford)","A2",2008
"1176-6344","CIÊNCIAS BIOLÓGICAS II                            ","Vascular Health and Risk Management (Cessou em 2008. Cont. ISSN 1178-2048 Vascular Health and Risk Management (Online))","C ",2008
"1537-1891","CIÊNCIAS BIOLÓGICAS II                            ","Vascular Pharmacology","B1",2008
"1467-2987","CIÊNCIAS BIOLÓGICAS II                            ","Veterinary Anaesthesia and Analgesia (Print)","B3",2008
"0275-6382","CIÊNCIAS BIOLÓGICAS II                            ","Veterinary Clinical Pathology","B4",2008
"0165-2427","CIÊNCIAS BIOLÓGICAS II                            ","Veterinary Immunology and Immunopathology (Print)","B2",2008
"0378-1135","CIÊNCIAS BIOLÓGICAS II                            ","Veterinary Microbiology (Amsterdam. Print)","B2",2008
"0304-4017","CIÊNCIAS BIOLÓGICAS II                            ","Veterinary Parasitology (Print)","B2",2008
"0042-4900","CIÊNCIAS BIOLÓGICAS II                            ","Veterinary Record","B3",2008
"0928-4249","CIÊNCIAS BIOLÓGICAS II                            ","Veterinary Research (Print)","A2",2008
"0165-7380","CIÊNCIAS BIOLÓGICAS II                            ","Veterinary Research Communications","B4",2008
"0945-6317","CIÊNCIAS BIOLÓGICAS II                            ","Virchows Archiv","B2",2008
"0042-6822","CIÊNCIAS BIOLÓGICAS II                            ","Virology (New York, N.Y. Print)","A2",2008
"0920-8569","CIÊNCIAS BIOLÓGICAS II                            ","Virus Genes","B2",2008
"0168-1702","CIÊNCIAS BIOLÓGICAS II                            ","Virus Research (Print)","B1",2008
"1519-2563","CIÊNCIAS BIOLÓGICAS II                            ","Virus Reviews and Research","C ",2008
"0042-6989","CIÊNCIAS BIOLÓGICAS II                            ","Vision Research (Oxford)","B2",2008
"0952-5238","CIÊNCIAS BIOLÓGICAS II                            ","Visual Neuroscience (Print)","B2",2008
"0042-9007","CIÊNCIAS BIOLÓGICAS II                            ","Vox Sanguinis (Basel. 1956)","B1",2008
"0043-1354","CIÊNCIAS BIOLÓGICAS II                            ","Water Research (Oxford)","A2",2008
"0049-6979","CIÊNCIAS BIOLÓGICAS II                            ","Water, Air and Soil Pollution (Print)","B3",2008
"1007-9327","CIÊNCIAS BIOLÓGICAS II                            ","World Journal of Gastroenterology","B2",2008
"0959-3993","CIÊNCIAS BIOLÓGICAS II                            ","World Journal of Microbiology & Biotechnology","B4",2008
"0364-2313","CIÊNCIAS BIOLÓGICAS II                            ","World Journal of Surgery","B2",2008
